Data da busca,Perfil,Ranking interno,Ranking,Moeda,Símbolo,Preço,Market cap,Volume 24h,Variação 24h %,Variação 7d %,Variação 30d %,Score,Classificação,Tendência,Nível de risco,Selo de qualidade,Alertas de risco,Motivo,Resumo final
2026-05-11 12:38:28,Moderado,1,7,Solana,SOL,96.0489576835341,55505544956,3629623252.378226,1.7300000190734863,13.5,0,84.95,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, volume muito forte, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,2,5,XRP,XRP,1.4815109570645406,91551784792,3393126403.1114182,0.3700000047683716,5.539999961853027,0,81.81,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, volume muito forte, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,3,4,BNB,BNB,659.4479929210098,91784900922,992125395.0757048,0.5299999713897705,5.289999961853027,0,81.15,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, bom volume, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,4,1,Bitcoin,BTC,81223.32464465742,1626738959070,27747374129.247414,-0.0099999997764825,1.1399999856948853,0,80.75,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, volume muito forte, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,5,30,Sui,SUI,1.280625239872289,5129439860,2074141858.1009064,1.1100000143051147,37.310001373291016,0,78.91,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap relevante, volume muito forte, tendência neutra, forte valorização recente.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,6,13,Cardano,ADA,0.2827994182476264,10921889381,634112843.5147716,-0.3300000131130218,12.579999923706056,0,77.06,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, bom volume, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,7,2,Ethereum,ETH,2328.15835202352,280371533398,16342347654.287674,-0.75,-1.2699999809265137,0,76.62,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, volume muito forte, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,8,8,TRON,TRX,0.3510796070032946,30320392897,466103906.0205105,0.0299999993294477,3.150000095367432,0,75.4,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, bom volume, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,9,17,Zcash,ZEC,555.6761349609258,9073229408,761794591.0399663,-6.28000020980835,34.59000015258789,0,73.67,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap relevante, bom volume, tendência neutra, forte valorização recente.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,10,23,Chainlink,LINK,10.542691379024523,6608685774,481737925.0222534,-1.2899999618530271,11.960000038146973,0,70.3,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap relevante, bom volume, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:38:28,Moderado,11,39,BitTensor,TAO,326.3669555262972,3132303918,292309614.8590311,0.9900000095367432,16.770000457763672,0,68.5,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,12,19,WETH,WETH,2328.2868267690146,8768086047,605658835.8809464,-0.75,-1.25,0,68.2,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,13,14,Wrapped Bitcoin,WBTC,80974.63865587451,10622091149,196822061.40269303,-0.0900000035762786,1.2100000381469729,0,67.03,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap alto, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,14,33,Avalanche,AVAX,10.222643577519973,4316769730,352830539.1456002,-0.1899999976158142,10.960000038146973,0,66.95,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,15,60,Ondo,ONDO,0.4384361901876655,1385067069,404282760.5164696,3.819999933242798,40.58000183105469,0,66.69,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra, forte valorização recente.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,16,26,Stellar,XLM,0.1695561960064485,5674385526,255718616.5097323,-0.1299999952316284,7.21999979019165,0,65.7,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,17,32,Litecoin,LTC,58.92323061597647,4452150154,397481610.9786587,-0.8799999952316284,6.630000114440918,0,65.17,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,18,55,Aave,AAVE,100.91699947647656,1521143226,432013095.4442317,1.5499999523162842,8.869999885559082,0,63.93,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,19,21,Monero,XMR,408.6608551936925,7538462178,169462865.87516737,-0.4300000071525574,3.5,0,63.76,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,20,18,Bitcoin Cash,BCH,450.582805120094,8951182032,186013817.40376037,-1.440000057220459,1.6699999570846558,0,62.81,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,21,11,Hyperliquid,HYPE,41.49532201200384,13856457357,192392134.93605575,-4.059999942779541,0.0700000002980232,0,62.53,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap alto, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,22,37,Coinbase Wrapped BTC,CBBTC,81207.0500151377,3870977660,387714651.93433225,-0.050000000745058,1.1399999856948853,0,62.45,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,23,45,USD1,USD1,0.9988628143239912,2125560571,785826984.9719067,-0.0299999993294477,-0.0900000035762786,0,62.35,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,24,20,WhiteBIT Coin,WBT,59.7340716899792,8608785826,148901265.27535906,-0.2199999988079071,0.0599999986588954,0,61.29,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,25,67,Tether Gold,XAUT,4720.781003441453,1163785816,506962806.2521601,0.0900000035762786,4.559999942779541,0,59.05,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,26,42,Uniswap,UNI,3.879058566660541,2329084026,214257643.75152725,-4.210000038146973,17.489999771118164,0,59.04,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,27,49,Near Protocol,NEAR,1.521549771757026,1803288198,215133275.23562437,-3.930000066757202,19.86000061035156,0,57.65,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,28,35,Hedera Hashgraph,HBAR,0.0968537915940185,4200853222,96496841.55032568,-0.5199999809265137,9.960000038146973,0,57.37,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, volume mais baixo, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,29,44,PAX Gold,PAXG,4722.11900912659,2228571011,126864090.6848922,0.0599999986588954,4.570000171661377,0,56.13,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,30,47,Internet Computer,ICP,3.374201630218652,1862793601,116447885.04832906,-1.7799999713897705,42.08000183105469,0,55.14,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra, forte valorização recente.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,31,73,Wrapped BNB,WBNB,659.3785495411433,1043696018,283869632.59430856,0.5699999928474426,5.289999961853027,0,54.99,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,32,25,Binance Bitcoin,BTCB,81229.07069492915,5938494900,64416773.55805513,-0.0099999997764825,1.1399999856948853,0,54.41,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, volume mais baixo, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,33,24,Toncoin,TON,2.3305398030116526,6255036286,336851728.09003866,-3.190000057220459,62.93999862670898,0,54.37,Média,Instável,Médio,Observar,"Alta muito forte em 7d, tendência instável.","Score moderado, market cap relevante, bom volume, movimento instável, forte valorização recente.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,34,12,Usds,USDS,0.9996278086871564,11073071320,38483221.04667784,-0.0199999995529651,0.0,0,54.1,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap alto, volume mais baixo, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,35,54,Ethereum Classic,ETC,9.740060898130809,1524900057,106860209.14201216,0.0199999995529651,12.149999618530272,0,54.03,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,36,65,Ethena,ENA,0.1306599656521243,1179410346,137757433.77374515,-1.4900000095367432,27.3799991607666,0,52.73,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,37,81,Aptos,APT,1.1265206193621988,909700865,255722990.28192103,-1.2400000095367432,16.059999465942383,0,51.9,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap menor, bom volume, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:38:28,Moderado,38,43,Mantle,MNT,0.6983071214668987,2306015684,40303159.89178817,0.3100000023841858,8.850000381469727,0,50.26,Média,Neutra,Baixo,Observar,Sem alerta grave,"Score moderado, market cap relevante, volume mais baixo, tendência neutra.","Tem pontos interessantes, mas ainda não está forte o suficiente para destaque."
2026-05-11 12:41:34,Conservador,1,7,Solana,SOL,96.0489576835341,55505544956,3629623252.378226,1.7300000190734863,13.5,0,83.54,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, volume muito forte, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:41:34,Conservador,2,1,Bitcoin,BTC,81223.32464465742,1626738959070,27747374129.247414,-0.009999999776482582,1.1399999856948853,0,80.53,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, volume muito forte, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:41:34,Conservador,3,5,XRP,XRP,1.4815109570645406,91551784792,3393126403.1114182,0.3700000047683716,5.539999961853027,0,79.84,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, volume muito forte, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:41:34,Conservador,4,4,BNB,BNB,659.4479929210098,91784900922,992125395.0757047,0.5299999713897705,5.289999961853027,0,79.17,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, bom volume, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:41:34,Conservador,5,2,Ethereum,ETH,2328.15835202352,280371533398,16342347654.287674,-0.75,-1.2699999809265137,0,74.44,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, volume muito forte, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
2026-05-11 12:41:34,Conservador,6,13,Cardano,ADA,0.2827994182476264,10921889381,634112843.5147716,-0.33000001311302185,12.579999923706055,0,70.09,Boa,Neutra,Baixo,Boa oportunidade,Sem alerta grave,"Score bom, market cap alto, bom volume, tendência neutra.","Mostra bons sinais, mas ainda precisa de confirmação com análise externa."
